num_s: 13
num_e: 13
Iteration 1: LL: -44.74794196630024, ll_diff: inf
Iteration 390: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 391: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 392: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 393: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 394: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 395: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 396: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 397: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 398: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 399: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 400: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 401: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 402: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 403: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 404: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 405: LL: -59.7571810776991, ll_diff: 16.056186333713462
